time,alt
1900/01/01 07:54:39+00,22.6
1900/01/01 07:54:40+00,22.3
1900/01/01 07:54:41+00,22.6
1900/01/01 07:54:42+00,22.7
1900/01/01 07:54:43+00,22.3
1900/01/01 07:54:44+00,22.8
1900/01/01 07:54:45+00,22.3
1900/01/01 07:54:46+00,22.0
1900/01/01 07:54:47+00,21.6
1900/01/01 07:54:48+00,21.1
1900/01/01 07:54:49+00,20.6
1900/01/01 07:54:50+00,20.9
1900/01/01 07:54:51+00,20.9
1900/01/01 07:54:52+00,21.1
1900/01/01 07:54:53+00,21.0
1900/01/01 07:54:54+00,21.1
1900/01/01 07:54:55+00,21.1
1900/01/01 07:54:56+00,20.8
1900/01/01 07:54:57+00,20.6
1900/01/01 07:54:58+00,19.9
1900/01/01 07:54:59+00,19.6
1900/01/01 07:55:00+00,19.5
1900/01/01 07:55:01+00,19.0
1900/01/01 07:55:02+00,18.9
1900/01/01 07:55:03+00,19.0
1900/01/01 07:55:04+00,19.8
1900/01/01 07:55:05+00,19.9
1900/01/01 07:55:06+00,20.0
1900/01/01 07:55:07+00,20.8
1900/01/01 07:55:08+00,21.2
1900/01/01 07:55:09+00,21.7
1900/01/01 07:55:10+00,21.8
1900/01/01 07:55:11+00,22.9
1900/01/01 07:55:12+00,23.5
1900/01/01 07:55:13+00,24.0
1900/01/01 07:55:14+00,25.8
1900/01/01 07:55:15+00,26.3
1900/01/01 07:55:16+00,26.5
1900/01/01 07:55:17+00,27.2
1900/01/01 07:55:18+00,27.5
1900/01/01 07:55:19+00,27.2
1900/01/01 07:55:20+00,30.0
1900/01/01 07:55:21+00,32.9
1900/01/01 07:55:22+00,34.9
1900/01/01 07:55:23+00,37.1
1900/01/01 07:55:24+00,39.6
1900/01/01 07:55:25+00,43.4
1900/01/01 07:55:26+00,47.0
1900/01/01 07:55:27+00,48.9
1900/01/01 07:55:28+00,50.8
1900/01/01 07:55:29+00,50.6
1900/01/01 07:55:30+00,49.5
1900/01/01 07:55:31+00,48.7
1900/01/01 07:55:32+00,46.8
1900/01/01 07:55:33+00,46.1
1900/01/01 07:55:34+00,45.2
1900/01/01 07:55:35+00,43.7
1900/01/01 07:55:36+00,42.1
1900/01/01 07:55:37+00,41.1
1900/01/01 07:55:38+00,40.6
1900/01/01 07:55:39+00,41.1
1900/01/01 07:55:40+00,43.4
1900/01/01 07:55:41+00,44.6
1900/01/01 07:55:42+00,47.1
1900/01/01 07:55:43+00,47.2
1900/01/01 07:55:44+00,48.2
1900/01/01 07:55:45+00,48.6
1900/01/01 07:55:46+00,48.0
1900/01/01 07:55:47+00,47.9
1900/01/01 07:55:48+00,48.2
1900/01/01 07:55:49+00,47.1
1900/01/01 07:55:50+00,46.2
1900/01/01 07:55:51+00,46.2
1900/01/01 07:55:52+00,47.1
1900/01/01 07:55:53+00,47.8
1900/01/01 07:55:54+00,47.6
1900/01/01 07:55:55+00,46.9
1900/01/01 07:55:56+00,48.8
1900/01/01 07:55:57+00,49.4
1900/01/01 07:55:58+00,50.9
1900/01/01 07:55:59+00,51.1
1900/01/01 07:56:00+00,51.5
1900/01/01 07:56:01+00,52.3
1900/01/01 07:56:02+00,53.4
1900/01/01 07:56:03+00,52.9
1900/01/01 07:56:04+00,53.7
1900/01/01 07:56:05+00,52.4
1900/01/01 07:56:06+00,52.0
1900/01/01 07:56:07+00,51.5
1900/01/01 07:56:08+00,51.2
1900/01/01 07:56:09+00,49.9
1900/01/01 07:56:10+00,48.7
1900/01/01 07:56:11+00,47.2
1900/01/01 07:56:12+00,46.1
1900/01/01 07:56:13+00,45.0
1900/01/01 07:56:14+00,44.2
1900/01/01 07:56:15+00,43.8
1900/01/01 07:56:16+00,43.3
1900/01/01 07:56:17+00,43.6
1900/01/01 07:56:18+00,44.0
1900/01/01 07:56:19+00,44.4
1900/01/01 07:56:20+00,44.8
1900/01/01 07:56:21+00,45.2
1900/01/01 07:56:22+00,46.1
1900/01/01 07:56:23+00,47.3
1900/01/01 07:56:24+00,47.6
1900/01/01 07:56:25+00,48.5
1900/01/01 07:56:26+00,48.7
1900/01/01 07:56:27+00,48.0
1900/01/01 07:56:28+00,48.4
1900/01/01 07:56:29+00,48.6
1900/01/01 07:56:30+00,48.4
1900/01/01 07:56:31+00,47.7
1900/01/01 07:56:32+00,48.3
1900/01/01 07:56:33+00,48.0
1900/01/01 07:56:34+00,46.8
1900/01/01 07:56:35+00,45.7
1900/01/01 07:56:36+00,45.7
1900/01/01 07:56:37+00,45.2
1900/01/01 07:56:38+00,45.7
1900/01/01 07:56:39+00,46.0
1900/01/01 07:56:40+00,46.0
1900/01/01 07:56:41+00,46.1
1900/01/01 07:56:42+00,46.2
1900/01/01 07:56:43+00,46.3
1900/01/01 07:56:44+00,46.5
1900/01/01 07:56:45+00,47.0
1900/01/01 07:56:46+00,46.3
1900/01/01 07:56:47+00,44.9
1900/01/01 07:56:48+00,43.8
1900/01/01 07:56:49+00,43.5
1900/01/01 07:56:50+00,42.5
1900/01/01 07:56:51+00,42.0
1900/01/01 07:56:52+00,40.9
1900/01/01 07:56:53+00,40.2
1900/01/01 07:56:54+00,39.5
1900/01/01 07:56:55+00,38.9
1900/01/01 07:56:56+00,38.1
1900/01/01 07:56:57+00,37.0
1900/01/01 07:56:58+00,35.9
1900/01/01 07:56:59+00,34.9
1900/01/01 07:57:00+00,33.6
1900/01/01 07:57:01+00,33.2
1900/01/01 07:57:02+00,32.6
1900/01/01 07:57:03+00,31.7
1900/01/01 07:57:04+00,30.9
1900/01/01 07:57:05+00,30.5
1900/01/01 07:57:06+00,30.1
1900/01/01 07:57:07+00,30.2
1900/01/01 07:57:08+00,29.7
1900/01/01 07:57:09+00,29.4
1900/01/01 07:57:10+00,29.4
1900/01/01 07:57:11+00,28.9
1900/01/01 07:57:12+00,28.2
1900/01/01 07:57:13+00,27.7
1900/01/01 07:57:14+00,26.7
1900/01/01 07:57:15+00,26.2
1900/01/01 07:57:16+00,25.4
1900/01/01 07:57:17+00,24.7
1900/01/01 07:57:18+00,24.2
1900/01/01 07:57:19+00,24.1
1900/01/01 07:57:20+00,23.4
1900/01/01 07:57:21+00,23.3
1900/01/01 07:57:22+00,22.9
1900/01/01 07:57:23+00,22.5
1900/01/01 07:57:24+00,22.2
1900/01/01 07:57:25+00,21.7
1900/01/01 07:57:26+00,21.9
1900/01/01 07:57:27+00,21.6
1900/01/01 07:57:28+00,21.0
1900/01/01 07:57:29+00,21.1
1900/01/01 07:57:30+00,20.7
1900/01/01 07:57:31+00,20.2
1900/01/01 07:57:32+00,19.9
1900/01/01 07:57:33+00,20.2
1900/01/01 07:57:34+00,20.1
1900/01/01 07:57:35+00,20.3
1900/01/01 07:57:36+00,20.2
1900/01/01 07:57:37+00,20.2
1900/01/01 07:57:38+00,20.0
1900/01/01 07:57:39+00,19.8
1900/01/01 07:57:40+00,20.2
1900/01/01 07:57:41+00,19.9
1900/01/01 07:57:42+00,19.4
1900/01/01 07:57:43+00,17.6
1900/01/01 07:57:44+00,17.6
1900/01/01 07:57:45+00,17.7
1900/01/01 07:57:46+00,17.3
1900/01/01 07:57:47+00,17.1
1900/01/01 07:57:48+00,16.6
1900/01/01 07:57:49+00,16.1
1900/01/01 07:57:50+00,15.9
1900/01/01 07:57:51+00,15.5
1900/01/01 07:57:52+00,14.9
1900/01/01 07:57:53+00,14.3
1900/01/01 07:57:54+00,14.5
1900/01/01 07:57:55+00,14.6
1900/01/01 07:57:56+00,14.2
1900/01/01 07:57:57+00,13.6
1900/01/01 07:57:58+00,13.6
1900/01/01 07:57:59+00,13.0
1900/01/01 07:58:00+00,12.8
1900/01/01 07:58:01+00,12.5
1900/01/01 07:58:02+00,12.3
1900/01/01 07:58:03+00,12.3
1900/01/01 07:58:04+00,11.2
1900/01/01 07:58:05+00,11.1
1900/01/01 07:58:06+00,11.2
1900/01/01 07:58:07+00,11.5
1900/01/01 07:58:08+00,11.4
1900/01/01 07:58:09+00,11.3
1900/01/01 07:58:10+00,10.7
1900/01/01 07:58:11+00,10.2
1900/01/01 07:58:12+00,10.1
1900/01/01 07:58:13+00,10.1
1900/01/01 07:58:14+00,10.0
1900/01/01 07:58:15+00,9.4
1900/01/01 07:58:16+00,9.0
1900/01/01 07:58:17+00,9.0
1900/01/01 07:58:18+00,9.0
1900/01/01 07:58:19+00,9.4
1900/01/01 07:58:20+00,9.5
1900/01/01 07:58:21+00,9.6
1900/01/01 07:58:22+00,9.6
1900/01/01 07:58:23+00,9.5
1900/01/01 07:58:24+00,9.9
1900/01/01 07:58:25+00,9.8
1900/01/01 07:58:26+00,9.6
1900/01/01 07:58:27+00,9.5
1900/01/01 07:58:28+00,9.2
1900/01/01 07:58:29+00,8.9
1900/01/01 07:58:30+00,9.4
1900/01/01 07:58:31+00,9.3
1900/01/01 07:58:32+00,9.1
1900/01/01 07:58:33+00,9.1
1900/01/01 07:58:34+00,9.4
1900/01/01 07:58:35+00,9.8
1900/01/01 07:58:36+00,9.9
1900/01/01 07:58:37+00,10.2
1900/01/01 07:58:38+00,10.1
1900/01/01 07:58:39+00,9.7
1900/01/01 07:58:40+00,9.7
1900/01/01 07:58:41+00,9.6
1900/01/01 07:58:42+00,9.5
1900/01/01 07:58:43+00,9.7
1900/01/01 07:58:44+00,9.9
1900/01/01 07:58:45+00,10.0
1900/01/01 07:58:46+00,9.7
1900/01/01 07:58:47+00,9.3
1900/01/01 07:58:48+00,9.5
1900/01/01 07:58:49+00,9.9
